cohort_month,0,1,2,3,4,5,6,7,8,9,10,11
2019-01,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.04
2019-02,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.05,0.05,0.04,0.04,
2019-03,0.04,0.04,0.04,0.04,0.03,0.04,0.05,0.04,0.04,0.04,,
2019-04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,,,
2019-05,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,,,,
2019-06,0.03,0.03,0.03,0.04,0.04,0.04,0.03,,,,,
2019-07,0.03,0.03,0.04,0.04,0.04,0.03,,,,,,
2019-08,0.03,0.04,0.04,0.04,0.03,,,,,,,
2019-09,0.04,0.04,0.04,0.03,,,,,,,,
2019-10,0.04,0.04,0.03,,,,,,,,,
2019-11,0.04,0.03,,,,,,,,,,
2019-12,0.03,,,,,,,,,,,
