cohort_month,0,1,2,3,4,5,6,7,8,9,10,11
2019-01,2148.0,325.0,394.0,446.0,439.0,462.0,381.0,309.0,408.0,355.0,365.0,280.0
2019-02,1681.0,266.0,295.0,291.0,318.0,255.0,207.0,278.0,242.0,244.0,185.0,
2019-03,1735.0,254.0,257.0,275.0,224.0,178.0,243.0,209.0,215.0,161.0,,
2019-04,1730.0,220.0,249.0,197.0,157.0,218.0,179.0,194.0,146.0,,,
2019-05,1562.0,201.0,169.0,130.0,173.0,151.0,160.0,126.0,,,,
2019-06,1609.0,168.0,122.0,162.0,146.0,150.0,120.0,,,,,
2019-07,1179.0,94.0,116.0,114.0,115.0,93.0,,,,,,
2019-08,763.0,72.0,69.0,71.0,60.0,,,,,,,
2019-09,912.0,65.0,68.0,56.0,,,,,,,,
2019-10,847.0,57.0,49.0,,,,,,,,,
2019-11,843.0,48.0,,,,,,,,,,
2019-12,677.0,,,,,,,,,,,
